Seed: 487771846
M = [0, 1, 3]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3708558363, -2.3652375362)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3652375362, -2.342513922)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3642229461, -2.341406552)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.341406552, -2.3366317749)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3366317749, -2.3072126855)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.3072126855, -2.2996416005)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.2996416005, -2.2850674765)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.2850674765, -2.2447545706)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.2447545706, -2.2390633254)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.2390633254, -2.2051039498)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.2051039498, -2.1944165331)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.1944165331, -2.1837043273)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.1837043273, -2.1622065808)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.1622065808, -2.0600521211)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.0600521211, -2.020896945)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.1622065808, -2.0137187393)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-2.0137187393, -1.9956128206)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.9956128206, -1.9833131607)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.9833131607, -1.90856275)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.9588094392, -1.8997309372)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.8997309372, -1.8655712785)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.8655712785, -1.8497014976)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.8497014976, -1.7701072522)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.7701072522, -1.7586024163)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.7586024163, -1.7309625342)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.7309625342, -1.7263366052)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.7263366052, -1.713857886)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.7586024163, -1.6047298285)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.6047298285, -1.5838652394)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.6047298285, -1.5709882508)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.5709882508, -1.553605731)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.553605731, -1.5418729915)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.5418729915, -1.5292067872)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.5292067872, -1.5194659396)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.5194659396, -1.5006449915)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.5006449915, -1.4763076747)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.4763076747, -1.4032918399)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.4032918399, -1.3711233689)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.3711233689, -1.3355639107)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.3355639107, -1.314156097)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.314156097, -1.2765766581)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.2765766581, -1.2652876952)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.2652876952, -1.2617186314)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.2617186314, -1.2261062835)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.2261062835, -1.210482029)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.210482029, -1.1911104186)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.1911104186, -1.1738483567)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.1738483567, -1.1433116556)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.1433116556, -1.1414930085)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.1414930085, -1.1194463093)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.1194463093, -1.0998974316)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.0996397748, -1.0899671474)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.0899671474, -1.0739459795)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.0739459795, -1.0616930824)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.0616930824, -1.0501112741)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-1.0501112741, -0.8844117981)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.8844117981, -0.8804113121)]
Matched - fs: [(-inf, -0.7232098641)] - da: [(-0.8804113121, -0.8608842827)]
